arm,app,language,path,run_id,rule_id,severity,title,file,source
C,fitness-tracker,Python,uploaded,r_20260920212536_t4aqdm,sast.sensitive-in-get-param,medium,Sensitive value sent in a URL parameter,static/index.html,sast
C,fitness-tracker,Python,uploaded,r_20260920212536_t4aqdm,sast.inline-script-in-view,medium,Inline script without the CSP nonce,static/index.html,sast
C,fitness-tracker,Python,uploaded,r_20260920212536_t4aqdm,sast.inline-script-in-view,medium,Inline script without the CSP nonce,static/index.html,sast
C,fitness-tracker,Python,uploaded,r_20260920212536_t4aqdm,sast.inline-script-in-view,medium,Inline script without the CSP nonce,static/index.html,sast
C,fitness-tracker,Python,uploaded,r_20260920212536_t4aqdm,config.env-example-present,low,.env.example is missing,.env.example,config
C,fitness-tracker,Python,uploaded,r_20260920212536_t4aqdm,docs.outside-services-documented,low,The outside services the app may contact are not documented,docs/communications.md,config
C,fitness-tracker,Python,uploaded,r_20260920212536_t4aqdm,docs.data-classes-documented,low,The kinds of information the app holds are not documented,docs/data-protection.md,config
C,fitness-tracker,Python,uploaded,r_20260920212536_t4aqdm,docs.dependency-updates-documented,low,How the app's packages are kept up to date is not documented,docs/dependencies.md,config
C,fitness-tracker,Python,uploaded,r_20260920212536_t4aqdm,docs.logging-documented,low,What the app logs is not documented,docs/logging.md,config
C,fitness-tracker,Python,uploaded,r_20260920212536_t4aqdm,docs.sign-in-rules-documented,low,The sign-in rules are not documented,docs/SECURITY.md,config
C,fitness-tracker,Python,uploaded,r_20260920212536_t4aqdm,docs.session-times-documented,low,The sign-in times are not documented,docs/sessions.md,config
C,fitness-tracker,Python,uploaded,r_20260920212536_t4aqdm,docs.validation-documented,low,The rules for what people may type are not documented,docs/validation.md,config
C,fitness-tracker,Python,uploaded,r_20260920212536_t4aqdm,config.node-engine-pinned,low,Node.js version not pinned,package.json,config
C,fitness-tracker,Python,uploaded,r_20260920212536_t4aqdm,deps.unpinned-versions,low,The exact versions of your packages are not written down,requirements.txt,deps
C,fitness-tracker,Python,uploaded,r_20260920212536_t4aqdm,config.readme-run-instructions,info,README lacks run instructions,README.md,config
